작업년도,명절구분,순번,자원명,관리기관구분,기관명,담당자명,연락처,시도,시군구,주소,상세주소,주차장유형,휴일_1_개방일,휴일_2_개방일,휴일_3_개방일,휴일_4_개방일,휴일_1_개방시간,휴일_2_개방시간,휴일_3_개방시간,휴일_4_개방시간,참고사항,경도,위도
2023,설,1,중소기업은행 지상주차장,공공기관,중소기업은행,김혜인,02-729-7469,서울특별시,중구,서울특별시 중구 을지로 79,1층 지상주차장,지상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.9865655,37.56649353
2023,설,2,중소기업은행 충주연수원,공공기관,중소기업은행,조성환,043-840-6109,충청북도,충주시,충청북도 충주시 화암양목길 12,교육동 지하2층,부설,2023-01-21,2023-01-22,2023-01-23,2023-01-24,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,128.0064894,36.99926483
2023,설,3,가평읍 노상주차장2,지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 석봉로 158,가평읍 석봉로 158 ~ 석봉로 181,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.511348,37.82917214
2023,설,4,가평읍 노상주차장3,지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 석봉로 181,가평읍 석봉로 181 ~ 석봉로 224,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5097053,37.83131955
2023,설,5,가평읍 노상주차장4,지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 석봉로 100,가평읍 석봉로 100 ~ 가평읍 가화로 76-1,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5129777,37.82529143
2023,설,6,가평읍 노상주차장5,지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 가화로 143,가평읍 가화로 143,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5119454,37.83223141
2023,설,7,공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 읍내리 461-7,가평읍 읍내리 461-7,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5120328,37.83060644
2023,설,8,공영주차장(북면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 북면 도대리 661,북면 도대리 661,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4914321,37.92165484
2023,설,9,공영주차장(북면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 북면 백둔리 371-6(연인산 캠핑장 부근),북면 백둔리 371-6(연인산 캠핑장 부근),노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4571612,37.90263051
2023,설,10,공영주차장(북면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 북면 적목리 산1-44,북면 적목리 산1-44,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4427102,38.01871999
